CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,timestamp
8f62bc37819a0a26886bcbad12cde999d8baf5ff4312bfc8b08c0fd67cb70581bb42e2bc528c915231ab7cf9a94f54c0794168aeeb59ff225db241daad567272,,01/11/2025 10:50:00 PM,40,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,BLOWING SNOW,"DARKNESS, LIGHTED ROAD",ANGLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,UNKNOWN,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,"OVER $1,500",01/11/2025 10:51:00 PM,DISREGARDING TRAFFIC SIGNALS,DISREGARDING TRAFFIC SIGNALS,6400,N,HARLEM AVE,1611.0,,,,,,,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,22,7,1,41.997018918,-87.806947715,POINT (-87.806947715496 41.997018918453),2025-01-11 22:50:00
f6c74f91db2975affe1f19da4867e42562bfa19fe64770fbcfba20f2f90743ab5c62d91a4b5853c6cf332e90f56c95ea994772bc79e2fafacc38d2919a03a4c5,,01/11/2025 10:45:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/11/2025 11:45:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,24,W,87TH ST,622.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,6.0,0.0,22,7,1,41.736381172,-87.625426497,POINT (-87.625426497041 41.736381171795),2025-01-11 22:45:00
897c67dbfc3bff0216e9545c8b11a71656f854891bb693d4fc70100b07cb0d15ecc7549526536a61ac876f01319ecb4d9da750b60e459fcc41d09e9f80985a3f,,01/11/2025 10:19:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DUSK,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"$501 - $1,500",01/11/2025 10:19:00 PM,IMPROPER LANE USAGE,UNABLE TO DETERMINE,1255,E,79TH ST,411.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,7,1,41.751301722,-87.593280169,POINT (-87.593280169499 41.751301721905),2025-01-11 22:19:00
12457169ce50b72d701b61558e439550b4e64c30c363efa5790d68f48ec5ac5e54b8a6c768005928d65f36b338d50f464e42517d1236ad4bed3dbeeabb7bf19b,,01/11/2025 10:10:00 PM,35,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DARKNESS,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/11/2025 11:19:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,1000,W,DIVERSEY PKWY,1933.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,22,7,1,41.932746527,-87.653928731,POINT (-87.653928730994 41.932746527452),2025-01-11 22:10:00
be02c954cad7f5b7628be637051018701e5cfeba8ad9c445e7b64765f1bc3494c72f8bd89c72ac6bb92d9c3595b0b90a238ada2a60f8643428b32b5a1d09d7cc,,01/11/2025 10:05:00 PM,10,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,REAR END,OTHER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",01/12/2025 08:55:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1110,E,81ST PL,411.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,7,1,41.746906804,-87.597187694,POINT (-87.597187694287 41.746906804208),2025-01-11 22:05:00
43d4a5e1066079a47679535404dfd7fa213e52e53616dba7c5f8212f12841995fe5a8e18fd918bb926ede6d6d4fb053ddc6048bf1e6fcac158e7d39aef01a3c9,,01/11/2025 10:00:00 PM,30,NO CONTROLS,NO CONTROLS,SNOW,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/12/2025 08:50:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,603,N,HALSTED ST,1214.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,7,1,41.892491872,-87.647463879,POINT (-87.647463878981 41.892491871587),2025-01-11 22:00:00
81f391d2a2450a88e8b5c83180b8e8d404712b9b4761d22099014089c9bcf1d0bb6d3a558e53fe2bc39eb0c83d5b8bf23d6119755f964d9fd9b8d41ffe6e94e3,,01/11/2025 10:00:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/13/2025 01:56:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,129,W,DIVISION ST,1824.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,7,1,41.903769878,-87.632842995,POINT (-87.632842994811 41.903769877658),2025-01-11 22:00:00
8eb0293f09555c4503fcf981b5aefd673c321f28d684861c86f4e4f16267e837b62b130ab52ad629af6264087348addb1011ffd5f27ef38b0151735f4742872e,,01/11/2025 09:59:00 PM,30,NO CONTROLS,NO CONTROLS,SNOW,"DARKNESS, LIGHTED ROAD",REAR END,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,Y,$500 OR LESS,01/11/2025 10:01:00 PM,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,1744,N,WESTERN AVE,1434.0,,,,,,,2,"REPORTED, NOT EVIDENT",1.0,0.0,0.0,0.0,1.0,1.0,0.0,21,7,1,41.91343104,-87.687449935,POINT (-87.687449935358 41.913431039733),2025-01-11 21:59:00
0a1266023badc2ccab4af7ed2a36bf13e0b8295503b1e76949d6f94517712a6dcfec008d566ff8c04e98c04c846e8d294de16d23058b77ede04943a32685bf1d,,01/11/2025 09:45:00 PM,15,NO CONTROLS,NO CONTROLS,OTHER,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/11/2025 10:00:00 PM,WEATHER,NOT APPLICABLE,5400,N,LINCOLN AVE,2011.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21,7,1,41.979549513,-87.692844509,POINT (-87.692844509402 41.979549513091),2025-01-11 21:45:00
7a6e92c20355e0bc2bc579225ba30499739448ce3dec6cf30d31ca39d2ab06dcb7b733a36b145deccc7b2270628c4976fc6f8c682b2781be05cf51a09aadacc0,,01/11/2025 09:30:00 PM,15,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/12/2025 03:10:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,3183,S,GREEN ST,913.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21,7,1,41.837063736,-87.647300251,POINT (-87.647300251263 41.837063735825),2025-01-11 21:30:00
94f660271820d0ddb20ce1d7629e991bc78eb7ac550c3fb2dbdd7e30444c78da3b6c3cf960ec9e22e4e4bfbd9e36aa859099abc106dd0a255efe9e3b9d354547,,01/11/2025 09:10:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",HEAD ON,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",01/13/2025 10:40:00 PM,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,1999,N,LARAMIE AVE,2533.0,,,,,,,3,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21,7,1,41.916893097,-87.755789116,POINT (-87.755789115828 41.916893097372),2025-01-11 21:10:00
d1aba2ef6017d9b6d97c71f103dd71f91d3babd9ea400cc9b53868db5946b809e0e88a368cc3ae9a08bc3385992f39d60a011729a7127aa1393e2e792dbe2f2b,,01/11/2025 09:06:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,UNKNOWN,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,01/11/2025 09:10:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,652,W,ROOSEVELT RD,1232.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21,7,1,41.867299774,-87.644330692,POINT (-87.644330692089 41.867299774301),2025-01-11 21:06:00
f6eeadd989f6e67683c83c493db54eaefa4c53dbaa83d35b92e08279b47fcaf7a1ccaf11c9ae6a81660a84e0cc808eff041a0e583ef229a81ff119c41d4c3bfd,,01/11/2025 09:05:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,$500 OR LESS,01/11/2025 09:12:00 PM,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,4521,W,DIVERSEY AVE,2521.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21,7,1,41.931508803,-87.740081298,POINT (-87.740081298104 41.931508802691),2025-01-11 21:05:00
6bb0aab62cbecbd0a240aa73b9484736b1080c659a331e901f923e55d0be912dcf3843aa372574da3669c8d5659da4f8c6480a1ca12a62be5aff5a03211deba5,,01/11/2025 08:56:00 PM,30,NO CONTROLS,NO CONTROLS,CLOUDY/OVERCAST,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",01/11/2025 08:56:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,5059,W,DIVERSEY AVE,2521.0,,,,,,,3,"REPORTED, NOT EVIDENT",2.0,0.0,0.0,0.0,2.0,2.0,0.0,20,7,1,41.93132565,-87.753835053,POINT (-87.753835053278 41.931325649974),2025-01-11 20:56:00
69cba5846cc732363bedb780d874fd53af13b74e4d34742b791c6f27a61da317eea4e074301e7a1dcd0ecb44176ec51321aa36d867e232e170567a063b178dbc,,01/11/2025 08:50:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,$500 OR LESS,01/11/2025 08:51:00 PM,IMPROPER LANE USAGE,FOLLOWING TOO CLOSELY,1,N,ASHLAND AVE,1224.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20,7,1,41.881504556,-87.666657561,POINT (-87.666657560535 41.881504555642),2025-01-11 20:50:00
1a97085e37f830d374bc12c28369ac4e6aa2d609e3ec42d1ca72ec083682915ba466dbd5862bc7fea027465ffba699c2da5d95f83f93075774ce39bc27bdb0fa,,01/11/2025 08:45:00 PM,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/11/2025 09:45:00 PM,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,2400,N,LAKE SHORE DR NB,1935.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20,7,1,41.92616072,-87.631514665,POINT (-87.631514664826 41.926160719812),2025-01-11 20:45:00
0e25c4df21bd7cdfc45399bba6b1043672ff6488ce7daa4dc2ad44c559e20dea457493c8376a85bb59c716222bc5f451f290b8dc7c7690900155a359fec8bc34,Y,01/11/2025 08:44:00 PM,30,NO CONTROLS,NO CONTROLS,SNOW,DUSK,OTHER OBJECT,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,N,"OVER $1,500",01/11/2025 08:45:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,7899,S,ELLIS AVE,624.0,,,,,,,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,4.0,0.0,20,7,1,41.751432017,-87.600194415,POINT (-87.600194415106 41.751432016914),2025-01-11 20:44:00
ff34a939831eb5937755117c76c8a5305a9d6fc9b2092022e67d654ef0addbbf33375a517ffc574a1f9f13cb2dfba44cce180edc07a42967cf7ddb84af03411e,,01/11/2025 08:38:00 PM,30,TRAFFIC SIGNAL,UNKNOWN,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,$500 OR LESS,01/11/2025 10:30:00 PM,NOT APPLICABLE,NOT APPLICABLE,10,N,PAULINA ST,1224.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20,7,1,41.881719747,-87.669459666,POINT (-87.669459665825 41.881719747034),2025-01-11 20:38:00
9d3d7211cf8017c5d0a25bc0a221b50d114a8ee8c2fbc67689333432ff017664f042ee0beb33ecd835d910296bc6d53231247dc60483f46b26dd26eb63273426,,01/11/2025 08:33:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"$501 - $1,500",01/11/2025 08:33:00 PM,IMPROPER OVERTAKING/PASSING,NOT APPLICABLE,5114,N,AVERS AVE,1712.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20,7,1,41.974218026,-87.72470702,POINT (-87.724707019899 41.9742180256),2025-01-11 20:33:00
0874c3e50a4bcc365855d46f71dd3b6dd8e77fbfdb76905c97facd6d71dd0b18278f57625350190b304fbf76d6fac2a6d2727a828ac44b32718b887e3ea372df,,01/11/2025 08:30:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"$501 - $1,500",01/11/2025 10:00:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,6402,N,WESTERN AVE,2412.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20,7,1,41.997874091,-87.690034875,POINT (-87.690034874744 41.997874091037),2025-01-11 20:30:00
